ID.,性別,学年,専攻,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20
40085,2,2,3,3,4,4,4,4,3,4,1,1,4,3,4,4,4,4,2,4,1,2,1
40086,2,2,3,3,3,1,4,4,3,4,2,3,3,3,4,3,3,3,3,3,2,3,1
40087,2,2,3,1,3,2,2,3,3,2,3,1,4,3,3,3,3,1,3,2,1,1,1
40089,2,2,3,3,4,1,2,2,1,3,1,2,1,1,2,4,3,1,1,2,1,2,3
40091,2,3,3,3,3,2,3,2,3,3,1,3,3,3,2,3,2,2,2,3,2,2,2
40096,2,3,3,3,4,1,4,3,3,4,1,3,3,3,4,3,3,4,3,4,1,3,3
40097,2,3,3,2,4,1,3,2,2,3,1,1,3,2,3,1,2,2,3,2,2,2,4
40098,2,2,3,2,3,1,4,4,3,4,2,3,2,2,4,3,4,3,2,3,2,2,1
40099,1,2,3,4,4,2,4,4,1,4,2,4,2,1,4,4,3,2,3,4,1,4,1
40100,2,2,3,4,4,3,4,4,4,4,3,2,4,3,4,4,4,4,4,4,3,2,1
40105,1,2,3,1,2,1,4,1,1,2,1,1,1,1,4,1,1,3,1,1,1,2,4
40107,2,3,3,3,4,1,4,4,1,4,2,2,4,1,4,4,2,3,3,4,1,2,1
40108,1,2,3,3,4,2,4,4,2,3,3,4,2,3,3,2,3,3,3,3,2,3,2
40113,1,3,3,2,3,2,4,4,4,4,2,2,1,2,4,3,2,3,2,3,2,3,1
40114,1,3,3,2,4,1,4,3,1,3,2,2,3,1,3,3,2,2,4,3,1,3,1
40126,1,2,3,1,3,4,4,4,4,4,3,2,3,4,4,3,4,3,3,4,4,2,1
40130,2,2,3,3,2,1,3,3,1,3,2,2,3,1,3,3,3,1,2,2,2,3,1
40131,2,2,3,2,4,1,3,3,1,3,2,2,2,1,3,3,3,2,2,3,1,2,1
40132,1,2,3,3,2,1,3,1,1,1,2,3,1,1,2,2,1,1,1,2,1,3,4
40133,2,2,3,1,3,3,4,4,4,4,2,3,2,4,4,1,4,4,3,4,3,3,1
40134,2,2,3,4,4,2,4,4,4,4,2,3,1,2,4,2,4,4,1,4,2,3,1
40135,2,2,3,2,4,3,4,4,3,4,3,2,4,3,4,2,4,4,3,4,2,2,1
40136,2,2,3,2,4,4,4,3,4,4,4,1,4,2,4,3,3,3,2,4,1,2,3
40137,1,2,3,2,3,4,2,2,1,3,1,1,2,4,3,2,2,2,2,3,1,1,3
40138,1,2,3,3,3,3,3,3,3,3,2,3,2,2,3,3,3,3,2,3,2,3,2
40139,2,2,3,1,4,1,4,1,1,4,1,4,4,2,4,1,1,1,4,3,1,3,4
40140,2,2,3,1,4,1,4,4,4,4,1,4,3,1,4,2,3,4,3,4,1,3,1
40141,2,2,3,3,4,3,4,2,2,4,2,3,3,3,4,2,2,3,2,4,1,3,2
40143,1,2,3,4,4,1,4,4,3,4,1,3,4,1,4,4,3,4,3,4,2,2,1
40146,2,2,3,4,3,4,4,4,4,4,1,4,1,4,4,3,3,3,3,4,2,4,1
40147,1,2,3,1,2,1,3,1,1,3,1,2,3,1,3,1,1,1,2,3,1,3,4
40148,1,2,3,4,4,1,3,4,1,4,1,3,2,1,3,3,3,2,2,2,1,3,1
40149,1,2,3,3,4,2,3,3,1,3,1,3,3,1,3,3,3,2,2,4,1,3,2
40152,2,2,3,1,3,2,3,3,3,4,3,1,1,2,3,3,3,1,3,2,2,2,1
40153,2,2,3,2,4,2,4,1,1,4,1,3,4,1,4,1,3,4,3,4,1,4,4
40154,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4
40155,2,3,3,2,2,4,1,1,4,1,1,3,2,4,1,1,1,2,1,1,1,4,4
40156,1,3,3,2,3,1,3,2,3,3,2,3,1,4,3,2,1,3,2,3,1,2,3
50066,1,2,2,3,4,4,4,2,1,3,2,4,2,4,4,3,2,3,4,2,2,4,4
50069,1,2,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4
50071,1,2,2,2,4,3,4,4,4,4,3,4,3,4,4,1,3,4,3,3,2,3,1
50074,2,2,2,4,4,1,4,3,1,4,1,3,4,2,3,3,3,2,3,3,2,2,3
50075,2,2,2,3,3,2,2,3,2,3,3,3,3,2,3,3,3,2,3,3,2,3,1
